Policy_Area,Dataset,Variable,Year,Count,Tract,tractnumber,Neighborhood,GEOID,Row_ID,Date,Location,Los Angeles Incorporated Cities,DPW_CITY_BOUNDARIES_from_dmu2_xaer,la_county_tracts_from_jczq_z5ui,City Boundaries_from_22pk_kkuz,LA Neighborhoods_from_5ikr_59ci,layer_0_from_yr99_sgmi,layer_0_from_mgnu_zr5s,New Neighborhoods_from_s3dq_ztay,Neighborhoods_from_5jp5_kw3x,Neighborhoods_from_gw34_aa8i
Housing & Real Estate,Homelessness,Unsheltered Population,2017,7,"Census Tract 1903.01, Los Angeles County, California",190301,Hollywood,1400000US06037190301,Unsheltered_Population_2017_1400000US06037190301,01/01/2017 12:00:00 AM,"(34.103533, -118.3178)",76,305,1320,76,108,239,240,239,239,239
Housing & Real Estate,Homelessness,Unsheltered Population,2017,45,"Census Tract 1174.04, Los Angeles County, California",117404,North Hills,1400000US06037117404,Unsheltered_Population_2017_1400000US06037117404,01/01/2017 12:00:00 AM,"(34.228481, -118.479066)",76,305,292,76,159,72,72,73,75,67
Housing & Real Estate,Homelessness,Unsheltered Population,2018,31,"Census Tract 1911.10, Los Angeles County, California",191110,East Hollywood,1400000US06037191110,Unsheltered_Population_2018_1400000US06037191110,01/01/2018 12:00:00 AM,"(34.096507, -118.304869)",76,305,2298,76,67,234,219,233,233,233
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1352.01, Los Angeles County, California",135201,West Hills,1400000US06037135201,Sheltered_Population_2018_1400000US06037135201,01/01/2018 12:00:00 AM,"(34.1883425, -118.627666)",76,305,1563,76,256,247,246,248,248,248
Housing & Real Estate,Homelessness,Unsheltered Population,2017,5,"Census Tract 1012.10, Los Angeles County, California",101210,Tujunga,1400000US06037101210,Unsheltered_Population_2017_1400000US06037101210,01/01/2017 12:00:00 AM,"(34.251998, -118.2926875)",76,305,199,76,232,145,145,148,148,148
Housing & Real Estate,Homelessness,Total Homeless Population,2018,3,"Census Tract 1396, Los Angeles County, California",139600,Encino,1400000US06037139600,Total_Homeless_Population_2018_1400000US06037139600,01/01/2018 12:00:00 AM,"(34.1632385, -118.509831)",76,305,1311,76,79,266,267,266,266,266
Housing & Real Estate,Homelessness,Total Homeless Population,2018,5,"Census Tract 1042.04, Los Angeles County, California",104204,Lake View Terrace,1400000US06037104204,Total_Homeless_Population_2018_1400000US06037104204,01/01/2018 12:00:00 AM,"(34.2886315, -118.396898)",76,305,1287,76,122,246,245,245,247,247
Housing & Real Estate,Homelessness,Unsheltered Population,2018,2,"Census Tract 1411.01, Los Angeles County, California",141101,Sherman Oaks,1400000US06037141101,Unsheltered_Population_2018_1400000US06037141101,01/01/2018 12:00:00 AM,"(34.1515515, -118.4268665)",76,305,47,76,206,264,264,264,264,264
Housing & Real Estate,Homelessness,Total Homeless Population,2017,14,"Census Tract 1224.10, Los Angeles County, California",122410,Sun Valley,1400000US06037122410,Total_Homeless_Population_2017_1400000US06037122410,01/01/2017 12:00:00 AM,"(34.204063, -118.3921485)",76,305,297,76,198,206,204,202,202,202
Housing & Real Estate,Homelessness,Unsheltered Population,2018,5,"Census Tract 1374.01, Los Angeles County, California",137401,Woodland Hills,1400000US06037137401,Unsheltered_Population_2018_1400000US06037137401,01/01/2018 12:00:00 AM,"(34.1582135, -118.612342)",76,305,1111,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1956, Los Angeles County, California",195600,Echo Park,1400000US06037195600,Sheltered_Population_2018_1400000US06037195600,01/01/2018 12:00:00 AM,"(34.0810905, -118.266765)",76,305,433,76,63,148,147,150,151,151
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1375.04, Los Angeles County, California",137504,Woodland Hills,1400000US06037137504,Sheltered_Population_2017_1400000US06037137504,01/01/2017 12:00:00 AM,"(34.14705, -118.571596)",76,305,1568,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1132.35, Los Angeles County, California",113235,Chatsworth,1400000US06037113235,Sheltered_Population_2018_1400000US06037113235,01/01/2018 12:00:00 AM,"(34.2373915, -118.6488335)",,268,727,,45,168,162,165,164,164
Housing & Real Estate,Homelessness,Unsheltered Population,2017,12,"Census Tract 1283.02, Los Angeles County, California",128302,Van Nuys,1400000US06037128302,Unsheltered_Population_2017_1400000US06037128302,01/01/2017 12:00:00 AM,"(34.18353, -118.4596295)",76,305,352,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Total Homeless Population,2017,20,"Census Tract 1972, Los Angeles County, California",197200,Elysian Valley,1400000US06037197200,Total_Homeless_Population_2017_1400000US06037197200,01/01/2017 12:00:00 AM,"(34.0898635, -118.2358515)",76,305,60,76,78,199,193,195,196,196
Housing & Real Estate,Homelessness,Total Homeless Population,2017,50,"Census Tract 1945, Los Angeles County, California",194500,Beverly Grove,1400000US06037194500,Total_Homeless_Population_2017_1400000US06037194500,01/01/2017 12:00:00 AM,"(34.079028, -118.370116)",76,305,1526,76,28,38,38,39,39,39
Housing & Real Estate,Homelessness,Total Homeless Population,2017,10,"Census Tract 1432, Los Angeles County, California",143200,Studio City,1400000US06037143200,Total_Homeless_Population_2017_1400000US06037143200,01/01/2017 12:00:00 AM,"(34.149998, -118.3710665)",76,305,49,76,222,132,128,131,129,129
Housing & Real Estate,Homelessness,Unsheltered Population,2018,37,"Census Tract 1901, Los Angeles County, California",190100,Hollywood,1400000US06037190100,Unsheltered_Population_2018_1400000US06037190100,01/01/2018 12:00:00 AM,"(34.0992315, -118.3421205)",76,305,1015,76,108,239,240,239,239,239
Housing & Real Estate,Homelessness,Total Homeless Population,2018,17,"Census Tract 1327, Los Angeles County, California",132700,Reseda,1400000US06037132700,Total_Homeless_Population_2018_1400000US06037132700,01/01/2018 12:00:00 AM,"(34.189425, -118.527258)",76,305,1306,76,186,172,179,30,180,180
Housing & Real Estate,Homelessness,Total Homeless Population,2018,6,"Census Tract 1924.20, Los Angeles County, California",192420,Larchmont,1400000US06037192420,Total_Homeless_Population_2018_1400000US06037192420,01/01/2018 12:00:00 AM,"(34.07987, -118.311338)",76,305,1645,76,127,26,26,26,27,27
Housing & Real Estate,Homelessness,Unsheltered Population,2018,7,"Census Tract 1253.10, Los Angeles County, California",125310,North Hollywood,1400000US06037125310,Unsheltered_Population_2018_1400000US06037125310,01/01/2018 12:00:00 AM,"(34.1685345, -118.3668635)",76,305,2222,76,160,114,112,115,114,112
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1345.20, Los Angeles County, California",134520,Canoga Park,1400000US06037134520,Sheltered_Population_2018_1400000US06037134520,01/01/2018 12:00:00 AM,"(34.197392, -118.59933)",76,305,537,76,35,73,223,225,225,225
Housing & Real Estate,Homelessness,Unsheltered Population,2018,13,"Census Tract 1345.21, Los Angeles County, California",134521,Canoga Park,1400000US06037134521,Unsheltered_Population_2018_1400000US06037134521,01/01/2018 12:00:00 AM,"(34.2046645, -118.5952795)",76,305,43,76,35,73,223,225,225,225
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1398.02, Los Angeles County, California",139802,Tarzana,1400000US06037139802,Sheltered_Population_2018_1400000US06037139802,01/01/2018 12:00:00 AM,"(34.1453435, -118.5545195)",76,305,1313,76,225,49,49,50,49,49
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1021.03, Los Angeles County, California",102103,Shadow Hills,1400000US06037102103,Sheltered_Population_2018_1400000US06037102103,01/01/2018 12:00:00 AM,"(34.224155, -118.354339)",76,305,1283,76,188,251,251,250,250,250
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1192.01, Los Angeles County, California",119201,Arleta,1400000US06037119201,Sheltered_Population_2018_1400000US06037119201,01/01/2018 12:00:00 AM,"(34.246411, -118.441015)",76,305,1573,76,10,161,172,164,162,162
Housing & Real Estate,Homelessness,Unsheltered Population,2018,0,"Census Tract 1852.04, Los Angeles County, California",185204,Mount Washington,1400000US06037185204,Unsheltered_Population_2018_1400000US06037185204,01/01/2018 12:00:00 AM,"(34.102575, -118.222414)",76,305,420,76,156,158,152,155,132,132
Housing & Real Estate,Homelessness,Unsheltered Population,2018,41,"Census Tract 1815, Los Angeles County, California",181500,Eagle Rock,1400000US06037181500,Unsheltered_Population_2018_1400000US06037181500,01/01/2018 12:00:00 AM,"(34.133864, -118.1922815)",76,305,1593,76,65,154,154,157,149,149
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1081.02, Los Angeles County, California",108102,Porter Ranch,1400000US06037108102,Sheltered_Population_2018_1400000US06037108102,01/01/2018 12:00:00 AM,"(34.280795, -118.55492)",76,305,1891,76,179,231,232,230,230,230
Housing & Real Estate,Homelessness,Sheltered Population,2017,8,"Census Tract 1944.01, Los Angeles County, California",194401,Beverly Grove,1400000US06037194401,Sheltered_Population_2017_1400000US06037194401,01/01/2017 12:00:00 AM,"(34.08455, -118.3641455)",76,305,432,76,28,38,38,39,39,39
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1113.02, Los Angeles County, California",111302,Northridge,1400000US06037111302,Sheltered_Population_2018_1400000US06037111302,01/01/2018 12:00:00 AM,"(34.2539425, -118.512829)",76,305,2257,76,152,92,92,93,92,92
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1134.01, Los Angeles County, California",113401,Winnetka,1400000US06037113401,Sheltered_Population_2018_1400000US06037113401,01/01/2018 12:00:00 AM,"(34.2279845, -118.562301)",76,305,1241,76,271,222,222,218,216,216
Housing & Real Estate,Homelessness,Unsheltered Population,2017,8,"Census Tract 1349.04, Los Angeles County, California",134904,Winnetka,1400000US06037134904,Unsheltered_Population_2017_1400000US06037134904,01/01/2017 12:00:00 AM,"(34.1904695, -118.5796995)",76,305,757,76,271,222,222,218,216,216
Housing & Real Estate,Homelessness,Unsheltered Population,2017,11,"Census Tract 1279.10, Los Angeles County, California",127910,Van Nuys,1400000US06037127910,Unsheltered_Population_2017_1400000US06037127910,01/01/2017 12:00:00 AM,"(34.197562, -118.444372)",76,305,1304,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Unsheltered Population,2017,8,"Census Tract 1340.02, Los Angeles County, California",134002,Winnetka,1400000US06037134002,Unsheltered_Population_2017_1400000US06037134002,01/01/2017 12:00:00 AM,"(34.2017175, -118.584817)",76,305,41,76,271,222,222,218,216,216
Housing & Real Estate,Homelessness,Total Homeless Population,2017,5,"Census Tract 1882.01, Los Angeles County, California",188201,Los Feliz,1400000US06037188201,Total_Homeless_Population_2017_1400000US06037188201,01/01/2017 12:00:00 AM,"(34.112061, -118.2742745)",76,305,2296,76,140,228,229,224,221,221
Housing & Real Estate,Homelessness,Unsheltered Population,2017,7,"Census Tract 1316, Los Angeles County, California",131600,Reseda,1400000US06037131600,Unsheltered_Population_2017_1400000US06037131600,01/01/2017 12:00:00 AM,"(34.214462, -118.553111)",76,305,229,76,186,172,179,30,180,180
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1043.10, Los Angeles County, California",104310,Pacoima,1400000US06037104310,Sheltered_Population_2017_1400000US06037104310,01/01/2017 12:00:00 AM,"(34.2762555, -118.4293915)",76,305,202,76,167,98,98,100,98,97
Housing & Real Estate,Homelessness,Unsheltered Population,2017,0,"Census Tract 1276.03, Los Angeles County, California",127603,Van Nuys,1400000US06037127603,Unsheltered_Population_2017_1400000US06037127603,01/01/2017 12:00:00 AM,"(34.19575, -118.479983)",76,305,228,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Total Homeless Population,2017,13,"Census Tract 1917.10, Los Angeles County, California",191710,Hollywood,1400000US06037191710,Total_Homeless_Population_2017_1400000US06037191710,01/01/2017 12:00:00 AM,"(34.0871295, -118.315709)",76,305,2299,76,108,239,240,239,239,239
Housing & Real Estate,Homelessness,Unsheltered Population,2017,0,"Census Tract 1943, Los Angeles County, California",194300,Hollywood Hills West,1400000US06037194300,Unsheltered_Population_2017_1400000US06037194300,01/01/2017 12:00:00 AM,"(34.102775, -118.3877725)",76,305,1021,76,107,138,134,137,134,134
Housing & Real Estate,Homelessness,Total Homeless Population,2017,26,"Census Tract 1283.03, Los Angeles County, California",128303,Van Nuys,1400000US06037128303,Total_Homeless_Population_2017_1400000US06037128303,01/01/2017 12:00:00 AM,"(34.18356, -118.4530775)",76,305,748,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Unsheltered Population,2017,55,"Census Tract 1032, Los Angeles County, California",103200,Lake View Terrace,1400000US06037103200,Unsheltered_Population_2017_1400000US06037103200,01/01/2017 12:00:00 AM,"(34.2745565, -118.3439025)",76,305,1285,76,122,246,245,245,247,247
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 1374.02, Los Angeles County, California",137402,Woodland Hills,1400000US06037137402,Total_Homeless_Population_2018_1400000US06037137402,01/01/2018 12:00:00 AM,"(34.156668, -118.626367)",76,305,1566,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1042.04, Los Angeles County, California",104204,Lake View Terrace,1400000US06037104204,Sheltered_Population_2017_1400000US06037104204,01/01/2017 12:00:00 AM,"(34.2886315, -118.396898)",76,305,1287,76,122,246,245,245,247,247
Housing & Real Estate,Homelessness,Unsheltered Population,2017,0,"Census Tract 1066.49, Los Angeles County, California",106649,Sylmar,1400000US06037106649,Unsheltered_Population_2017_1400000US06037106649,01/01/2017 12:00:00 AM,"(34.288747, -118.4611105)",76,305,1890,76,224,55,55,56,56,56
Housing & Real Estate,Homelessness,Total Homeless Population,2018,62,"Census Tract 1061.12, Los Angeles County, California",106112,Sylmar,1400000US06037106112,Total_Homeless_Population_2018_1400000US06037106112,01/01/2018 12:00:00 AM,"(34.305005, -118.414298)",76,305,2313,76,224,55,55,56,56,56
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1411.02, Los Angeles County, California",141102,Sherman Oaks,1400000US06037141102,Sheltered_Population_2018_1400000US06037141102,01/01/2018 12:00:00 AM,"(34.149623, -118.4308415)",76,305,47,76,206,264,264,264,264,264
Housing & Real Estate,Homelessness,Unsheltered Population,2018,2,"Census Tract 1952.02, Los Angeles County, California",195202,Los Feliz,1400000US06037195202,Unsheltered_Population_2018_1400000US06037195202,01/01/2018 12:00:00 AM,"(34.102058, -118.279132)",76,305,1527,76,140,228,229,224,221,221
Housing & Real Estate,Homelessness,Unsheltered Population,2018,7,"Census Tract 1273, Los Angeles County, California",127300,Van Nuys,1400000US06037127300,Unsheltered_Population_2018_1400000US06037127300,01/01/2018 12:00:00 AM,"(34.2087545, -118.4697515)",76,305,37,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Total Homeless Population,2018,19,"Census Tract 1041.08, Los Angeles County, California",104108,Pacoima,1400000US06037104108,Total_Homeless_Population_2018_1400000US06037104108,01/01/2018 12:00:00 AM,"(34.271671, -118.397614)",76,305,2005,76,167,98,98,100,98,97
Housing & Real Estate,Homelessness,Unsheltered Population,2018,20,"Census Tract 1061.13, Los Angeles County, California",106113,Sylmar,1400000US06037106113,Unsheltered_Population_2018_1400000US06037106113,01/01/2018 12:00:00 AM,"(34.3062, -118.42203)",76,305,739,76,224,55,55,56,56,56
Housing & Real Estate,Homelessness,Unsheltered Population,2018,13,"Census Tract 1992.01, Los Angeles County, California",199201,Lincoln Heights,1400000US06037199201,Unsheltered_Population_2018_1400000US06037199201,01/01/2018 12:00:00 AM,"(34.076463, -118.211518)",76,305,1028,76,134,122,120,122,120,120
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1245, Los Angeles County, California",124500,Valley Glen,1400000US06037124500,Sheltered_Population_2017_1400000US06037124500,01/01/2017 12:00:00 AM,"(34.1741095, -118.4246955)",76,305,776,76,237,159,144,147,136,136
Housing & Real Estate,Homelessness,Total Homeless Population,2017,3,"Census Tract 1193.20, Los Angeles County, California",119320,Panorama City,1400000US06037119320,Total_Homeless_Population_2017_1400000US06037119320,01/01/2017 12:00:00 AM,"(34.239058, -118.453982)",76,305,294,76,172,183,177,179,179,179
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1011.10, Los Angeles County, California",101110,Tujunga,1400000US06037101110,Sheltered_Population_2017_1400000US06037101110,01/01/2017 12:00:00 AM,"(34.2595555, -118.293602)",76,305,496,76,232,145,145,148,148,148
Housing & Real Estate,Homelessness,Unsheltered Population,2017,18,"Census Tract 1835.10, Los Angeles County, California",183510,Highland Park,1400000US06037183510,Unsheltered_Population_2017_1400000US06037183510,01/01/2017 12:00:00 AM,"(34.1153125, -118.2025785)",76,305,1569,76,105,120,118,121,118,118
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1370, Los Angeles County, California",137000,Woodland Hills,1400000US06037137000,Sheltered_Population_2017_1400000US06037137000,01/01/2017 12:00:00 AM,"(34.167095, -118.6409615)",76,305,1565,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Total Homeless Population,2017,165,"Census Tract 1234.20, Los Angeles County, California",123420,Valley Glen,1400000US06037123420,Total_Homeless_Population_2017_1400000US06037123420,01/01/2017 12:00:00 AM,"(34.1939335, -118.418128)",76,305,1583,76,237,159,144,147,136,136
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1212.21, Los Angeles County, California",121221,Sun Valley,1400000US06037121221,Sheltered_Population_2017_1400000US06037121221,01/01/2017 12:00:00 AM,"(34.227323, -118.396127)",76,305,295,76,198,206,204,202,202,202
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1252, Los Angeles County, California",125200,Valley Village,1400000US06037125200,Sheltered_Population_2018_1400000US06037125200,01/01/2018 12:00:00 AM,"(34.1648915, -118.383369)",76,305,1632,76,138,109,102,68,108,107
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1064.06, Los Angeles County, California",106406,Sylmar,1400000US06037106406,Sheltered_Population_2017_1400000US06037106406,01/01/2017 12:00:00 AM,"(34.321542, -118.4587415)",76,305,1214,76,224,55,55,56,56,56
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1925.10, Los Angeles County, California",192510,East Hollywood,1400000US06037192510,Sheltered_Population_2017_1400000US06037192510,01/01/2017 12:00:00 AM,"(34.07989, -118.3068095)",76,305,1322,76,67,234,219,233,233,233
Housing & Real Estate,Homelessness,Sheltered Population,2017,100,"Census Tract 1909.01, Los Angeles County, California",190901,Hollywood,1400000US06037190901,Sheltered_Population_2017_1400000US06037190901,01/01/2017 12:00:00 AM,"(34.094431, -118.3124765)",76,305,1638,76,108,239,240,239,239,239
Housing & Real Estate,Homelessness,Unsheltered Population,2017,10,"Census Tract 1944.02, Los Angeles County, California",194402,Beverly Grove,1400000US06037194402,Unsheltered_Population_2017_1400000US06037194402,01/01/2017 12:00:00 AM,"(34.0851935, -118.3719725)",76,305,1324,76,28,38,38,39,39,39
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 1151.04, Los Angeles County, California",115104,Northridge,1400000US06037115104,Total_Homeless_Population_2018_1400000US06037115104,01/01/2018 12:00:00 AM,"(34.2395005, -118.523595)",76,305,729,76,152,92,92,93,92,92
Housing & Real Estate,Homelessness,Total Homeless Population,2018,1,"Census Tract 1351.11, Los Angeles County, California",135111,Canoga Park,1400000US06037135111,Total_Homeless_Population_2018_1400000US06037135111,01/01/2018 12:00:00 AM,"(34.192351, -118.6102355)",76,305,44,76,35,73,223,225,225,225
Housing & Real Estate,Homelessness,Total Homeless Population,2017,0,"Census Tract 1081.01, Los Angeles County, California",108101,Porter Ranch,1400000US06037108101,Total_Homeless_Population_2017_1400000US06037108101,01/01/2017 12:00:00 AM,"(34.280038, -118.5413715)",76,305,720,76,179,231,232,230,230,230
Housing & Real Estate,Homelessness,Total Homeless Population,2017,13,"Census Tract 1835.20, Los Angeles County, California",183520,Highland Park,1400000US06037183520,Total_Homeless_Population_2017_1400000US06037183520,01/01/2017 12:00:00 AM,"(34.110558, -118.201548)",76,305,1596,76,105,120,118,121,118,118
Housing & Real Estate,Homelessness,Unsheltered Population,2017,8,"Census Tract 1193.41, Los Angeles County, California",119341,Panorama City,1400000US06037119341,Unsheltered_Population_2017_1400000US06037119341,01/01/2017 12:00:00 AM,"(34.237627, -118.4453355)",76,305,1574,76,172,183,177,179,179,179
Housing & Real Estate,Homelessness,Unsheltered Population,2017,3,"Census Tract 1048.21, Los Angeles County, California",104821,Pacoima,1400000US06037104821,Unsheltered_Population_2017_1400000US06037104821,01/01/2017 12:00:00 AM,"(34.2465705, -118.416294)",76,305,1230,76,167,98,98,100,98,97
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 1417, Los Angeles County, California",141700,Sherman Oaks,1400000US06037141700,Total_Homeless_Population_2018_1400000US06037141700,01/01/2018 12:00:00 AM,"(34.1379545, -118.4378355)",76,305,1588,76,206,264,264,264,264,264
Housing & Real Estate,Homelessness,Unsheltered Population,2018,3,"Census Tract 1114, Los Angeles County, California",111400,Granada Hills,1400000US06037111400,Unsheltered_Population_2018_1400000US06037111400,01/01/2018 12:00:00 AM,"(34.257483, -118.495412)",76,305,725,76,89,263,263,257,263,263
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1066.41, Los Angeles County, California",106641,Granada Hills,1400000US06037106641,Sheltered_Population_2018_1400000US06037106641,01/01/2018 12:00:00 AM,"(34.298025, -118.509153)",76,305,677,76,89,263,263,257,263,263
Housing & Real Estate,Homelessness,Total Homeless Population,2018,13,"Census Tract 1344.22, Los Angeles County, California",134422,West Hills,1400000US06037134422,Total_Homeless_Population_2018_1400000US06037134422,01/01/2018 12:00:00 AM,"(34.203569, -118.630125)",76,305,1558,76,256,247,246,248,248,248
Housing & Real Estate,Homelessness,Total Homeless Population,2018,112,"Census Tract 1974.20, Los Angeles County, California",197420,Echo Park,1400000US06037197420,Total_Homeless_Population_2018_1400000US06037197420,01/01/2018 12:00:00 AM,"(34.082834, -118.2561185)",76,305,1026,76,63,148,147,150,151,151
Housing & Real Estate,Homelessness,Total Homeless Population,2018,16,"Census Tract 1211.01, Los Angeles County, California",121101,Sun Valley,1400000US06037121101,Total_Homeless_Population_2018_1400000US06037121101,01/01/2018 12:00:00 AM,"(34.225737, -118.3655)",76,305,768,76,198,206,204,202,202,202
Housing & Real Estate,Homelessness,Unsheltered Population,2017,12,"Census Tract 1132.31, Los Angeles County, California",113231,Chatsworth Reservoir,1400000US06037113231,Unsheltered_Population_2017_1400000US06037113231,01/01/2017 12:00:00 AM,"(34.2282065, -118.645614)",76,305,1051,76,46,18,18,18,33,33
Housing & Real Estate,Homelessness,Total Homeless Population,2018,1,"Census Tract 1320.02, Los Angeles County, California",132002,Lake Balboa,1400000US06037132002,Total_Homeless_Population_2018_1400000US06037132002,01/01/2018 12:00:00 AM,"(34.193829, -118.5098475)",76,305,751,76,77,139,135,138,135,135
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 1153.02, Los Angeles County, California",115302,Northridge,1400000US06037115302,Total_Homeless_Population_2018_1400000US06037115302,01/01/2018 12:00:00 AM,"(34.226401, -118.5498615)",76,305,522,76,152,92,92,93,92,92
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1432, Los Angeles County, California",143200,Studio City,1400000US06037143200,Sheltered_Population_2018_1400000US06037143200,01/01/2018 12:00:00 AM,"(34.149998, -118.3710665)",76,305,49,76,222,132,128,131,129,129
Housing & Real Estate,Homelessness,Total Homeless Population,2018,10,"Census Tract 1190.01, Los Angeles County, California",119001,Arleta,1400000US06037119001,Total_Homeless_Population_2018_1400000US06037119001,01/01/2018 12:00:00 AM,"(34.232289, -118.4180405)",76,305,1572,76,10,161,172,164,162,162
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1345.20, Los Angeles County, California",134520,Canoga Park,1400000US06037134520,Sheltered_Population_2017_1400000US06037134520,01/01/2017 12:00:00 AM,"(34.197392, -118.59933)",76,305,537,76,35,73,223,225,225,225
Housing & Real Estate,Homelessness,Unsheltered Population,2018,5,"Census Tract 1373.02, Los Angeles County, California",137302,Woodland Hills,1400000US06037137302,Unsheltered_Population_2018_1400000US06037137302,01/01/2018 12:00:00 AM,"(34.177044, -118.6555755)",76,305,2169,76,272,260,261,260,259,259
Housing & Real Estate,Homelessness,Unsheltered Population,2018,5,"Census Tract 1232.05, Los Angeles County, California",123205,North Hollywood,1400000US06037123205,Unsheltered_Population_2018_1400000US06037123205,01/01/2018 12:00:00 AM,"(34.194979, -118.383413)",76,305,1900,76,160,114,112,115,114,112
Housing & Real Estate,Homelessness,Total Homeless Population,2017,6,"Census Tract 1436.02, Los Angeles County, California",143602,Studio City,1400000US06037143602,Total_Homeless_Population_2017_1400000US06037143602,01/01/2017 12:00:00 AM,"(34.1449605, -118.387713)",76,305,392,76,222,132,128,131,129,129
Housing & Real Estate,Homelessness,Total Homeless Population,2017,0,"Census Tract 1943, Los Angeles County, California",194300,Hollywood Hills West,1400000US06037194300,Total_Homeless_Population_2017_1400000US06037194300,01/01/2017 12:00:00 AM,"(34.102775, -118.3877725)",76,305,1021,76,107,138,134,137,134,134
Housing & Real Estate,Homelessness,Total Homeless Population,2017,14,"Census Tract 1242.01, Los Angeles County, California",124201,North Hollywood,1400000US06037124201,Total_Homeless_Population_2017_1400000US06037124201,01/01/2017 12:00:00 AM,"(34.1848665, -118.374674)",76,305,35,76,160,114,112,115,114,112
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 1999, Los Angeles County, California",199900,Lincoln Heights,1400000US06037199900,Sheltered_Population_2018_1400000US06037199900,01/01/2018 12:00:00 AM,"(34.0639545, -118.2104575)",76,305,1862,76,134,122,120,122,120,120
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1271.02, Los Angeles County, California",127102,Van Nuys,1400000US06037127102,Sheltered_Population_2017_1400000US06037127102,01/01/2017 12:00:00 AM,"(34.206446, -118.4443775)",76,305,324,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1091, Los Angeles County, California",109100,Mission Hills,1400000US06037109100,Sheltered_Population_2017_1400000US06037109100,01/01/2017 12:00:00 AM,"(34.278731, -118.4610295)",76,305,1297,76,150,240,241,240,240,240
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 1231.04, Los Angeles County, California",123104,North Hollywood,1400000US06037123104,Total_Homeless_Population_2018_1400000US06037123104,01/01/2018 12:00:00 AM,"(34.183057, -118.364585)",76,305,533,76,160,114,112,115,114,112
Housing & Real Estate,Homelessness,Unsheltered Population,2018,57,"Census Tract 1881, Los Angeles County, California",188100,Atwater Village,1400000US06037188100,Unsheltered_Population_2018_1400000US06037188100,01/01/2018 12:00:00 AM,"(34.137637, -118.270105)",76,305,1318,76,14,83,83,84,93,93
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1287.02, Los Angeles County, California",128702,Sherman Oaks,1400000US06037128702,Sheltered_Population_2017_1400000US06037128702,01/01/2017 12:00:00 AM,"(34.1600075, -118.439966)",76,305,1305,76,206,264,264,264,264,264
Housing & Real Estate,Homelessness,Total Homeless Population,2017,8,"Census Tract 1132.34, Los Angeles County, California",113234,Canoga Park,1400000US06037113234,Total_Homeless_Population_2017_1400000US06037113234,01/01/2017 12:00:00 AM,"(34.227624, -118.59227)",76,305,1266,76,35,73,223,225,225,225
